model,size,angle_deg,L_k,L_low,L_high,q,p,matched_bpp
mbt2018,256x256,90.0,0.637172655689883,0.2642841491886041,0.8252277744106823,3.0,,0
webp,256x256,0.0,0.0056035629613686,0.0032120572597709,0.0058172422735533,3.0,,0
webp,256x256,15.0,0.0048269758840105,0.0041006941452027,0.0068336752101189,3.0,,0
webp,256x256,30.0,0.005041767935198,0.0052486400545885,0.0048759158876371,3.0,,0
webp,256x256,45.0,0.0055190941016652,0.0032345848020575,0.005354157384941,3.0,,0
webp,256x256,60.0,0.0048374398449358,0.0037963790983573,0.0068770953470366,3.0,,0
webp,256x256,75.0,0.0051440567964363,0.0054111816384271,0.0048608306636724,3.0,,0
webp,256x256,90.0,0.0055675483631447,0.0033174339751003,0.0057098837516692,3.0,,0
jpeg,256x256,0.0,0.0172790843261461,0.0059898195663694,0.0259782767568979,3.0,,0
jpeg,256x256,15.0,0.0107803884127047,0.0086906056354215,0.0234559746614597,3.0,,0
jpeg,256x256,30.0,0.0130476126241483,0.0130813482836901,0.0123456703733941,3.0,,0
jpeg,256x256,45.0,0.0164439232735734,0.0065513745034243,0.0211418107435615,3.0,,0
jpeg,256x256,60.0,0.0109256590697116,0.0086698976969355,0.0239329661139484,3.0,,0
jpeg,256x256,75.0,0.0134873735609114,0.012623249749579,0.0136657206031887,3.0,,0
jpeg,256x256,90.0,0.0161380133469491,0.0060538511993378,0.0250042098671232,3.0,,0
jpegxl,256x256,0.0,0.0033833585739729,0.0024012914307589,0.0042435405974383,3.0,,0
jpegxl,256x256,15.0,0.0037816686507622,0.0032594445201509,0.0066342261109455,3.0,,0
jpegxl,256x256,30.0,0.0038727757956844,0.0041452237528468,0.0048158702898318,3.0,,0
jpegxl,256x256,45.0,0.0036994734681644,0.0026593585991372,0.0056203103103627,3.0,,0
jpegxl,256x256,60.0,0.0035523432902875,0.0030972135452182,0.0069498205713621,3.0,,0
jpegxl,256x256,75.0,0.0037899037671064,0.0043526335551549,0.0047314645308832,3.0,,0
jpegxl,256x256,90.0,0.0036710318089701,0.0026485379378874,0.0036175892558336,3.0,,0
ftic,256x256,0.0,0.0059502108525091,0.0037961882927722,0.0252469978946736,4.0,,0
ftic,256x256,15.0,0.0054531473606916,0.0038991703001576,0.0086570651628686,4.0,,0
ftic,256x256,30.0,0.0053772759586717,0.0044405333273334,0.0076037028072303,4.0,,0
ftic,256x256,45.0,0.0061489603157269,0.0042708121153995,0.0321148677356549,4.0,,0
ftic,256x256,60.0,0.0062434899237256,0.0048065806452242,0.0101913754698569,4.0,,0
ftic,256x256,75.0,0.0061779331995322,0.0042769354964262,0.0087563564386621,4.0,,0
ftic,256x256,90.0,0.0058965707190019,0.0038194271409944,0.0256810652163683,4.0,,0
cheng2020-anchor,256x256,0.0,0.5268951797398174,0.2015459707560147,0.5542749047984102,4.0,,0
cheng2020-anchor,256x256,15.0,0.9801878421213626,0.1982437245922485,0.9912178720354424,4.0,,0
cheng2020-anchor,256x256,30.0,0.5089897944410402,0.1612872427993048,0.6793878438482105,4.0,,0
cheng2020-anchor,256x256,45.0,0.3672901142158709,0.0725737831887175,0.9580575614659042,4.0,,0
cheng2020-anchor,256x256,60.0,0.0820945613690541,0.086981684617147,0.5701687040376768,4.0,,0
cheng2020-anchor,256x256,75.0,0.1916370712943297,0.2372930878744215,0.2488563868851202,4.0,,0
cheng2020-anchor,256x256,90.0,0.4622599236895867,0.102913359165939,0.5546928338794908,4.0,,0
cheng2020-attn,256x256,0.0,0.3507478222036476,0.0390265924701034,0.6598641318811649,4.0,,0
cheng2020-attn,256x256,15.0,0.0846499277627279,0.0750295807797477,0.6871062262760395,4.0,,0
cheng2020-attn,256x256,30.0,0.1282176714282817,0.0681186503227506,0.30032373120451,4.0,,0
cheng2020-attn,256x256,45.0,0.1587780763871495,0.0184096310190069,0.5717210030252153,4.0,,0
cheng2020-attn,256x256,60.0,0.0577473530739099,0.0664001582126756,0.4250490749354426,4.0,,0
cheng2020-attn,256x256,75.0,0.1547959048621821,0.1295075632598603,0.1231445275455454,4.0,,0
cheng2020-attn,256x256,90.0,0.3570337235891855,0.040252667612874,0.6298290261360338,4.0,,0
bmshj2018-factorized,256x256,0.0,0.7675976578586149,0.3737821585240891,0.9848397744671455,4.0,,0
bmshj2018-factorized,256x256,15.0,0.7704430234954089,0.4310480585696502,0.9691717020985224,4.0,,0
bmshj2018-factorized,256x256,30.0,0.6176923342973147,0.4980795831930942,0.9661819538488948,4.0,,0
bmshj2018-factorized,256x256,45.0,0.7510248112264629,0.3968296609981293,0.976187844630691,4.0,,0
bmshj2018-factorized,256x256,60.0,0.811789415440421,0.4200919256658176,0.9979848761144878,4.0,,0
bmshj2018-factorized,256x256,75.0,0.6126201436470736,0.4624168897270474,0.9828418744975111,4.0,,0
