model,size,angle_deg,L_k,L_low,L_high,q,p,matched_bpp
bmshj2018-hyperprior,256x256,0.0,0.6117089382624011,0.3032305018423611,0.9699721848787224,2.0,,0
bmshj2018-hyperprior,256x256,15.0,0.5546436693893884,0.3816351590232925,0.9516670080388452,2.0,,0
bmshj2018-hyperprior,256x256,30.0,0.5968165667827712,0.4733338488254499,0.9520685412746746,2.0,,0
bmshj2018-hyperprior,256x256,45.0,0.732266591268986,0.4539334955338081,0.9419369358018604,2.0,,0
bmshj2018-hyperprior,256x256,60.0,0.8099736249618494,0.4169864420711426,0.9983773139570304,2.0,,0
bmshj2018-hyperprior,256x256,75.0,0.5760205254322398,0.3993107293624501,0.9773710412714574,2.0,,0
bmshj2018-hyperprior,256x256,90.0,0.6171694924595255,0.2951281587824701,0.966205578277174,2.0,,0
mbt2018-mean,256x256,0.0,0.617777329375711,0.3116513955349945,0.96917202873705,2.0,,0
mbt2018-mean,256x256,15.0,0.6068733583404753,0.3458104980853362,0.9949086665741986,2.0,,0
mbt2018-mean,256x256,30.0,0.6091830526483945,0.5198886538192704,0.9657886762337616,2.0,,0
mbt2018-mean,256x256,45.0,0.6643314775098106,0.3258116393806232,0.958917230401528,2.0,,0
mbt2018-mean,256x256,60.0,0.5787871376277955,0.3847917598855938,0.9952226532927396,2.0,,0
mbt2018-mean,256x256,75.0,0.5290633435036629,0.3886063667069668,0.9737930591723116,2.0,,0
mbt2018-mean,256x256,90.0,0.6040447143532516,0.3215614815819914,0.960140221890192,2.0,,0
mbt2018,256x256,0.0,0.5440944951181308,0.2595951771131126,0.9005688901167788,2.0,,0
mbt2018,256x256,15.0,0.3833897490078019,0.3031220369237855,0.9634216224393892,2.0,,0
mbt2018,256x256,30.0,0.495050652942418,0.3735294384734863,0.8867662167456889,2.0,,0
mbt2018,256x256,45.0,0.6290751412676383,0.2800728049004185,0.9179418589520892,2.0,,0
mbt2018,256x256,60.0,0.5973306739193488,0.3719834720165373,0.975400679185654,2.0,,0
mbt2018,256x256,75.0,0.5703706716412671,0.3493970944192405,0.8880408179829085,2.0,,0
mbt2018,256x256,90.0,0.5672488727686118,0.2525090253689258,0.8998787155949186,2.0,,0
jpeg,256x256,0.0,0.0271236143448314,0.0097708289657449,0.0439282186532028,2.0,,0
jpeg,256x256,15.0,0.0168283361119701,0.0140445210886612,0.0408250158295516,2.0,,0
jpeg,256x256,30.0,0.0214716266730427,0.0211978167193931,0.0209264286030936,2.0,,0
jpeg,256x256,45.0,0.0269970926035756,0.0101946552345579,0.0367664298826643,2.0,,0
jpeg,256x256,60.0,0.0178744290009834,0.0142587683230899,0.043055362856524,2.0,,0
jpeg,256x256,75.0,0.0219053063510657,0.0210207663376349,0.022599461077539,2.0,,0
jpeg,256x256,90.0,0.0275635682729071,0.0098315333988445,0.0433316133239074,2.0,,0
webp,256x256,0.0,0.00863016111745,0.004697067316741,0.0089535520568982,2.0,,0
webp,256x256,15.0,0.0071265589989189,0.0063159385953827,0.0111299933716046,2.0,,0
webp,256x256,30.0,0.0077539323638587,0.0081561550278066,0.0074206807232726,2.0,,0
webp,256x256,45.0,0.0082608834894052,0.0048442968276201,0.0081045247033797,2.0,,0
webp,256x256,60.0,0.0075436160783009,0.0058132642981795,0.0109236694396765,2.0,,0
webp,256x256,75.0,0.0080923152214976,0.0085232463060982,0.0076191186186107,2.0,,0
webp,256x256,90.0,0.0085692548071547,0.0048596977484307,0.0088144760931369,2.0,,0
jpegxl,256x256,0.0,0.0063068673296342,0.0039791067379293,0.0092158764492622,2.0,,0
jpegxl,256x256,15.0,0.0068762392149198,0.0059511972503936,0.0131325459753318,2.0,,0
