Model,Size,p,q,bpp,L_k,L_low,L_high,ODR_k,|Delta_c_k|,s_k,H_k_bits,CE_k(w=2)
webp,512x512,,2.0,2.881,0.0083,0.0065,0.0087,0.0042,0.0019,0.0455,0.0215,0.9919
mbt2018,512x512,,2.0,1.4312,0.6073,0.323,0.8633,0.6487,0.0221,0.1548,0.6452,0.672
bmshj2018-hyperprior,1024x1024,,2.0,0.6712,0.6593,0.3542,0.9962,0.7477,0.0165,0.1468,0.5938,0.6677
bmshj2018-hyperprior,256x256,,2.0,0.7394,0.6117,0.3493,0.9721,0.6571,0.0145,0.1275,0.584,0.7632
bmshj2018-hyperprior,512x512,,2.0,0.6532,0.621,0.3465,0.9912,0.6747,0.0147,0.1311,0.5861,0.7256
mbt2018,1024x1024,,2.0,1.4109,0.6185,0.327,0.8721,0.67,0.0248,0.1639,0.6308,0.6285
cheng2020-anchor,128x128,,2.0,0.999,0.6145,0.1251,0.7923,0.6623,0.0244,0.1659,0.6083,0.7948
webp,64x64,,2.0,3.3047,0.0109,0.0029,0.0114,0.0055,0.0023,0.0534,0.0338,0.99
webp,128x128,,2.0,2.9668,0.0094,0.0065,0.0109,0.0047,0.0022,0.0486,0.0272,0.9911
ftic,512x512,,2.0,0.9354,0.0127,0.0104,0.03,0.0064,0.0021,0.0436,0.03,0.9883
jpegxl,64x64,,2.0,2.3691,0.0097,0.0067,0.0115,0.0049,0.0013,0.0381,0.0302,0.9917
jpegxl,128x128,,2.0,1.6519,0.0073,0.0049,0.0092,0.0037,0.0009,0.0314,0.0212,0.9931
jpegxl,256x256,,2.0,1.3433,0.0063,0.0042,0.0077,0.0032,0.0008,0.0296,0.0172,0.9941
jpegxl,512x512,,2.0,1.1242,0.0054,0.0036,0.0072,0.0027,0.0007,0.0273,0.014,0.9948
cheng2020-attn,256x256,,2.0,0.7852,0.5163,0.221,0.8183,0.4883,0.016,0.1325,0.4973,0.8503
cheng2020-anchor,256x256,,2.0,1.5797,0.6463,0.1309,0.7858,0.7229,0.0271,0.1796,0.621,0.7543
jpeg,64x64,,2.0,2.6113,0.0278,0.0145,0.0424,0.0143,0.0044,0.0672,0.0758,0.9756
cheng2020-anchor,64x64,,2.0,1.121,0.5216,0.1311,0.9249,0.4969,0.0273,0.1905,0.6289,0.8275
jpegxl,128x128,,3.0,2.0688,0.0042,0.003,0.005,0.0021,0.0006,0.025,0.0129,0.9961
jpegxl,256x256,,3.0,1.7668,0.0034,0.0025,0.0037,0.0017,0.0005,0.022,0.0098,0.9968
mbt2018,1024x1024,,3.0,1.395,0.689,0.3588,0.8432,0.8032,0.0324,0.2072,0.7643,0.456
jpegxl,64x64,,3.0,2.957,0.0046,0.0033,0.0049,0.0023,0.0006,0.0255,0.0154,0.996
jpeg,64x64,,3.0,2.9805,0.0159,0.007,0.0229,0.0081,0.0026,0.048,0.0455,0.9862
cheng2020-attn,128x128,,3.0,1.0622,0.5394,0.2089,0.906,0.5267,0.0233,0.1423,0.5642,0.8413
cheng2020-attn,256x256,,3.0,0.9885,0.5057,0.1835,0.8276,0.4712,0.0209,0.1583,0.5001,0.8527
jpegxl,1024x1024,,3.0,1.3102,0.0029,0.0018,0.0033,0.0014,0.0004,0.0196,0.0076,0.9973
bmshj2018-hyperprior,256x256,,3.0,1.1254,0.5041,0.2645,0.8129,0.4687,0.0117,0.1101,0.602,0.7163
jpegxl,512x512,,3.0,1.4129,0.0031,0.0021,0.0038,0.0016,0.0005,0.0205,0.0085,0.997
bmshj2018-hyperprior,512x512,,3.0,1.0314,0.5569,0.2807,0.8242,0.5569,0.0135,0.1275,0.6224,0.6718
